Character,Series,Age,Note
Hinata Kawamoto,3-gatsu no Lion,13-15,
Chiyuri Kurashima,Accel World,15-17,
Fuuko Kurasaki,Accel World,16,
Haruyuki Arita,Accel World,13 / 14,
Kuroyukihime,Accel World,14 /15,
Takumu Mayuzumi,Accel World,15-17,
Yuniko Kozuki,Accel World,11,
Kannabi no Mikoto,Air,16 / 17,
Kano Kirishima,Air,16 / 17,
Minagi Tohno,Air,16 / 17,
Misuzu Kamio,Air,16 / 17,
Yona,Akatsuki no Yona,16,
Yoon,Akatsuki no Yona,15,
Zeno,Akatsuki no Yona,17,
Ai Nanasaki,Amagami,16 / 17,
Hikari Tsuneki,Amagami,16 / 17,
Kaoru Tanamachi,Amagami,16 / 17,Only if she's wearing a HS uniform
Makoto Kamizaki,Amagami,16 / 17,
Miu Hiyama,Amagami,16 / 17,
Miya Tachibana,Amagami,15 / 16,
Shouichi Kamita,Amagami,16 / 17,
Isuzu Sento,Amagi Brilliant Park,15 / 16,
Latifa Fleuranza,Amagi Brilliant Park,14 / 15,
Atsumu Matsuyuki,Ano hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai,15,
Chiriko Tsurumi,Ano hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai,15,
Jinta Yadomi,Ano hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai,15 / 16,
Meiko Honma,Ano hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai,15 / 16,
Naruko Anjou,Ano hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai,<17,
Tetsudo Hisakawa,Ano hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai,15 / 16,
Kaito Kirishima,Ano Natsu de Matteru,15,
Kanna Tanigawa,Ano Natsu de Matteru,16,
Mio Kitahara,Ano Natsu de Matteru,15,
Ikuo Takabayashi,Another,15,
Izumi Akazawa,Another,14 / 15,
Kenzou Kawahori,Another,15,
Kouichi Sakakibara,Another,15,
Misaki Fujioka,Another,15,
Naoya Teshigawara,Another,15,
Noboru Saruta,Another,15,
Shigeki Yonemura,Another,15,
Takako Sugiura,Another,15,
Takeru Mizuno,Another,15,
Tomohiko Kazami,Another,15,
Yukari Sakuragi,Another,15,
Yuuya Mochizuki,Another,15,
Ao Hojo,Ao no Exorcist,17,
Izumo Kamiki,Ao no Exorcist,16,
Konekomaru Miwa,Ao no Exorcist,15,
Nemu Takara,Ao no Exorcist,16,
Reiji Shiratori,Ao no Exorcist,16,
Renzo Shima,Ao no Exorcist,16,
Rin Okumura,Ao no Exorcist,16,
Ryuji Suguro,Ao no Exorcist,16,
Shiemi Moriyama,Ao no Exorcist,15,
Yukio Okumura,Ao no Exorcist,16,
Amata Sora,Aquarion Evol,16,
Kagura Demuri,Aquarion Evol,16,
Mikono Suzushiro,Aquarion Evol,16,
Zessica Wong,Aquarion Evol,17,
Akane Inuwaka,Arcana Heart,16,
Angelia Avallone,Arcana Heart,10,
Catherine Kyoubashi,Arcana Heart,12,
Dorothy Albright,Arcana Heart,9,
Fiona Mayfield,Arcana Heart,13,
Heart Aino,Arcana Heart,14,
Kamui Tokinomiya,Arcana Heart,16,
Kira Daidouji,Arcana Heart,11,
Konoha,Arcana Heart,13,
Lieselotte Achenbach,Arcana Heart,10,
Lilica Felchenerow,Arcana Heart,14,
Maori Kasuga,Arcana Heart,14,
Mei-Fang,Arcana Heart,17,
Mildred Avallone,Arcana Heart,17,
Nazuna Inuwaka,Arcana Heart,13,
Petra Johanna Lagerkvist,Arcana Heart,14,
Saki Tsuzura,Arcana Heart,14,
Scharlachrot,Arcana Heart,14,
Tsuzune Kasuga,Arcana Heart,16,
Weiss,Arcana Heart,14,
Yoriko Yasuzumi,Arcana Heart,14,
Aika S Granzchesta,Aria,16,
Akari Mizunashi,Aria,15,
Alice Carroll,Aria,14,
Amiya,Arknights,14~,
Aiko Kudou,Baka to Test to Shoukanjuu,16 / 17,
Akihisa Yoshii,Baka to Test to Shoukanjuu,17,
Genji Hiraga,Baka to Test to Shoukanjuu,16 / 17,
Hiromi Nakabayashi,Baka to Test to Shoukanjuu,16 / 17,
Kouta Tsuchiya,Baka to Test to Shoukanjuu,16 / 17,
Miharu Shimizu,Baka to Test to Shoukanjuu,16 / 17,
Minami Shimada,Baka to Test to Shoukanjuu,16 / 17,
Mizuki Himeji,Baka to Test to Shoukanjuu,16 / 17,
Shouko Kirishima,Baka to Test to Shoukanjuu,16 / 17,
Toshimitsu Kubo,Baka to Test to Shoukanjuu,16 / 17,
Yoshiko Mikami,Baka to Test to Shoukanjuu,16 / 17,
Yuuka Koyama,Baka to Test to Shoukanjuu,16 / 17,
Karen Araragi,Bakemonogatari,14 / 15,
Mayoi Hachikuji,Bakemonogatari,11,
Nadeko Sengoku,Bakemonogatari,13 / 14,
Ougi Oshino,Bakemonogatari,15,
Shinobu Oshino,Bakemonogatari,8,
Suruga Kanbaru,Bakemonogatari,16 / 17,
Tsukihi Araragi,Bakemonogatari,13 / 14,
Yotsugi Ononoki,Bakemonogatari,12,
Ako Udagawa,Bang Dream,14-16,
Arisa Ichigaya,Bang Dream,15-17,
Chiyu Tamade / CHUCHU,Bang Dream,14,
Eve Wakamiya,Bang Dream,16 / 17,
Hagumi Kitazawa,Bang Dream,16 / 17,
Himari Uehara,Bang Dream,16 / 17,
Kasumi Toyama,Bang Dream,15-17,
Kokoro Tsurumaki,Bang Dream,16 / 17,
Mashiro Kurata,Bang Dream,15 / 16,
Masuki Satou / MASKING,Bang Dream,16 / 17,
Misaki Okusawa,Bang Dream,16 / 17,
Moca Aoba,Bang Dream,16 / 17,
Nanami Hiromachi,Bang Dream,15 / 16,
Natsuki Umino,Bang Dream,16 / 17,
Ran Mitake,Bang Dream,16 / 17,
